plane.obj
1: x: 0, y: 28, z: 206
2: x: 0, y: 28, z: 207
3: x: 0, y: 28, z: 208
4: x: 0, y: 28, z: 209
5: x: 0, y: 28, z: 210
6: x: 0, y: 28, z: 211
7: x: 0, y: 28, z: 212
8: x: 0, y: 28, z: 213
9: x: 0, y: 28, z: 214
10: x: 0, y: 28, z: 215
11: x: 0, y: 28, z: 216
12: x: 0, y: 28, z: 217
13: x: 0, y: 28, z: 218
14: x: 0, y: 28, z: 219
15: x: 0, y: 28, z: 220
16: x: 0, y: 28, z: 221
17: x: 0, y: 28, z: 222
18: x: 0, y: 28, z: 223
19: x: 0, y: 28, z: 224
20: x: 0, y: 28, z: 225
21: x: 0, y: 28, z: 226
22: x: 0, y: 28, z: 227
23: x: 0, y: 28, z: 228
24: x: 0, y: 29, z: 207
25: x: 0, y: 29, z: 208
26: x: 0, y: 29, z: 209
27: x: 0, y: 29, z: 210
28: x: 0, y: 29, z: 211
29: x: 0, y: 29, z: 212
30: x: 0, y: 29, z: 213
31: x: 0, y: 29, z: 214
32: x: 0, y: 29, z: 215
33: x: 0, y: 29, z: 216
34: x: 0, y: 29, z: 217
35: x: 0, y: 29, z: 218
36: x: 0, y: 29, z: 219
37: x: 0, y: 29, z: 220
38: x: 0, y: 29, z: 221
39: x: 0, y: 29, z: 222
40: x: 0, y: 29, z: 223
41: x: 0, y: 29, z: 224
42: x: 0, y: 29, z: 225
43: x: 0, y: 29, z: 226
44: x: 0, y: 29, z: 227
45: x: 0, y: 29, z: 228
46: x: 0, y: 30, z: 208
47: x: 0, y: 30, z: 209
48: x: 0, y: 30, z: 210
49: x: 0, y: 30, z: 211
50: x: 0, y: 30, z: 212
51: x: 0, y: 30, z: 213
52: x: 0, y: 30, z: 214
53: x: 0, y: 30, z: 215
54: x: 0, y: 30, z: 216
55: x: 0, y: 30, z: 217
56: x: 0, y: 30, z: 218
57: x: 0, y: 30, z: 219
58: x: 0, y: 30, z: 220
59: x: 0, y: 30, z: 221
60: x: 0, y: 30, z: 222
61: x: 0, y: 30, z: 223
62: x: 0, y: 30, z: 224
63: x: 0, y: 30, z: 225
64: x: 0, y: 30, z: 226
65: x: 0, y: 30, z: 227
66: x: 0, y: 30, z: 228
67: x: 0, y: 31, z: 209
68: x: 0, y: 31, z: 210
69: x: 0, y: 31, z: 211
70: x: 0, y: 31, z: 212
71: x: 0, y: 31, z: 213
72: x: 0, y: 31, z: 214
73: x: 0, y: 31, z: 215
74: x: 0, y: 31, z: 216
75: x: 0, y: 31, z: 217
76: x: 0, y: 31, z: 218
77: x: 0, y: 31, z: 219
78: x: 0, y: 31, z: 220
79: x: 0, y: 31, z: 221
80: x: 0, y: 31, z: 222
81: x: 0, y: 31, z: 223
82: x: 0, y: 31, z: 224
83: x: 0, y: 31, z: 225
84: x: 0, y: 31, z: 226
85: x: 0, y: 31, z: 227
86: x: 0, y: 31, z: 228
87: x: 0, y: 32, z: 210
88: x: 0, y: 32, z: 211
89: x: 0, y: 32, z: 212
90: x: 0, y: 32, z: 213
91: x: 0, y: 32, z: 214
92: x: 0, y: 32, z: 215
93: x: 0, y: 32, z: 216
94: x: 0, y: 32, z: 217
95: x: 0, y: 32, z: 218
96: x: 0, y: 32, z: 219
97: x: 0, y: 32, z: 220
98: x: 0, y: 32, z: 221
99: x: 0, y: 32, z: 222
100: x: 0, y: 32, z: 223
101: x: 0, y: 32, z: 224
102: x: 0, y: 32, z: 225
103: x: 0, y: 32, z: 226
104: x: 0, y: 32, z: 227
105: x: 0, y: 32, z: 228
106: x: 0, y: 33, z: 211
107: x: 0, y: 33, z: 212
108: x: 0, y: 33, z: 213
109: x: 0, y: 33, z: 214
110: x: 0, y: 33, z: 215
111: x: 0, y: 33, z: 216
112: x: 0, y: 33, z: 217
113: x: 0, y: 33, z: 218
114: x: 0, y: 33, z: 219
115: x: 0, y: 33, z: 220
116: x: 0, y: 33, z: 221
117: x: 0, y: 33, z: 222
118: x: 0, y: 33, z: 223
119: x: 0, y: 33, z: 224
120: x: 0, y: 33, z: 225
121: x: 0, y: 33, z: 226
122: x: 0, y: 33, z: 227
123: x: 0, y: 33, z: 228
124: x: 0, y: 34, z: 212
125: x: 0, y: 34, z: 213
126: x: 0, y: 34, z: 214
127: x: 0, y: 34, z: 215
128: x: 0, y: 34, z: 216
129: x: 0, y: 34, z: 217
130: x: 0, y: 34, z: 218
131: x: 0, y: 34, z: 219
132: x: 0, y: 34, z: 220
133: x: 0, y: 34, z: 221
134: x: 0, y: 34, z: 222
135: x: 0, y: 34, z: 223
136: x: 0, y: 34, z: 224
137: x: 0, y: 34, z: 225
138: x: 0, y: 34, z: 226
139: x: 0, y: 34, z: 227
140: x: 0, y: 34, z: 228
141: x: 0, y: 35, z: 213
142: x: 0, y: 35, z: 214
143: x: 0, y: 35, z: 215
144: x: 0, y: 35, z: 216
145: x: 0, y: 35, z: 217
146: x: 0, y: 35, z: 218
147: x: 0, y: 35, z: 219
148: x: 0, y: 35, z: 220
149: x: 0, y: 35, z: 221
150: x: 0, y: 35, z: 222
151: x: 0, y: 35, z: 223
152: x: 0, y: 35, z: 224
153: x: 0, y: 35, z: 225
154: x: 0, y: 35, z: 226
155: x: 0, y: 35, z: 227
156: x: 0, y: 35, z: 228
157: x: 0, y: 36, z: 214
158: x: 0, y: 36, z: 215
159: x: 0, y: 36, z: 216
160: x: 0, y: 36, z: 217
161: x: 0, y: 36, z: 218
162: x: 0, y: 36, z: 219
163: x: 0, y: 36, z: 220
164: x: 0, y: 36, z: 221
165: x: 0, y: 36, z: 222
166: x: 0, y: 36, z: 223
167: x: 0, y: 36, z: 224
168: x: 0, y: 36, z: 225
169: x: 0, y: 36, z: 226
170: x: 0, y: 36, z: 227
171: x: 0, y: 36, z: 228
172: x: 0, y: 37, z: 215
173: x: 0, y: 37, z: 216
174: x: 0, y: 37, z: 217
175: x: 0, y: 37, z: 218
176: x: 0, y: 37, z: 219
177: x: 0, y: 37, z: 220
178: x: 0, y: 37, z: 221
179: x: 0, y: 37, z: 222
180: x: 0, y: 37, z: 223
181: x: 0, y: 37, z: 224
182: x: 0, y: 37, z: 225
183: x: 0, y: 37, z: 226
184: x: 0, y: 37, z: 227
185: x: 0, y: 37, z: 228
186: x: 0, y: 38, z: 216
187: x: 0, y: 38, z: 217
188: x: 0, y: 38, z: 218
189: x: 0, y: 38, z: 219
190: x: 0, y: 38, z: 220
191: x: 0, y: 38, z: 221
192: x: 0, y: 38, z: 222
193: x: 0, y: 38, z: 223
194: x: 0, y: 38, z: 224
195: x: 0, y: 38, z: 225
196: x: 0, y: 38, z: 226
197: x: 0, y: 38, z: 227
198: x: 0, y: 38, z: 228
199: x: 0, y: 39, z: 217
200: x: 0, y: 39, z: 218
201: x: 0, y: 39, z: 219
202: x: 0, y: 39, z: 220
203: x: 0, y: 39, z: 221
204: x: 0, y: 39, z: 222
205: x: 0, y: 39, z: 223
206: x: 0, y: 39, z: 224
207: x: 0, y: 39, z: 225
208: x: 0, y: 39, z: 226
209: x: 0, y: 39, z: 227
210: x: 0, y: 39, z: 228
211: x: 0, y: 40, z: 218
212: x: 0, y: 40, z: 219
213: x: 0, y: 40, z: 220
214: x: 0, y: 40, z: 221
215: x: 0, y: 40, z: 222
216: x: 0, y: 40, z: 223
217: x: 0, y: 40, z: 224
218: x: 0, y: 40, z: 225
219: x: 0, y: 40, z: 226
220: x: 0, y: 40, z: 227
221: x: 0, y: 40, z: 228
222: x: 0, y: 41, z: 219
223: x: 0, y: 41, z: 220
224: x: 0, y: 41, z: 221
225: x: 0, y: 41, z: 222
226: x: 0, y: 41, z: 223
227: x: 0, y: 41, z: 224
228: x: 0, y: 41, z: 225
229: x: 0, y: 41, z: 226
230: x: 0, y: 41, z: 227
231: x: 0, y: 41, z: 228
232: x: 0, y: 42, z: 220
233: x: 0, y: 42, z: 221
234: x: 0, y: 42, z: 222
235: x: 0, y: 42, z: 223
236: x: 0, y: 42, z: 224
237: x: 0, y: 42, z: 225
238: x: 0, y: 42, z: 226
239: x: 0, y: 42, z: 227
240: x: 0, y: 42, z: 228
241: x: 0, y: 43, z: 221
242: x: 0, y: 43, z: 222
243: x: 0, y: 43, z: 223
244: x: 0, y: 43, z: 224
245: x: 0, y: 43, z: 225
246: x: 0, y: 43, z: 226
247: x: 0, y: 43, z: 227
248: x: 0, y: 43, z: 228
249: x: 0, y: 44, z: 222
250: x: 0, y: 44, z: 223
251: x: 0, y: 44, z: 224
252: x: 0, y: 44, z: 225
253: x: 0, y: 44, z: 226
254: x: 0, y: 44, z: 227
255: x: 0, y: 44, z: 228
256: x: 0, y: 45, z: 223
257: x: 0, y: 45, z: 224
258: x: 0, y: 45, z: 225
259: x: 0, y: 45, z: 226
260: x: 0, y: 45, z: 227
261: x: 0, y: 45, z: 228
262: x: 0, y: 46, z: 224
263: x: 0, y: 46, z: 225
264: x: 0, y: 46, z: 226
265: x: 0, y: 46, z: 227
266: x: 0, y: 46, z: 228
267: x: 0, y: 47, z: 225
268: x: 0, y: 47, z: 226
269: x: 0, y: 47, z: 227
270: x: 0, y: 47, z: 228
271: x: 0, y: 48, z: 226
272: x: 0, y: 48, z: 227
273: x: 0, y: 48, z: 228
274: x: 0, y: 49, z: 227
275: x: 0, y: 49, z: 228
276: x: 0, y: 50, z: 228
277: x: 0, y: 51, z: 207
278: x: 0, y: 51, z: 208
279: x: 0, y: 51, z: 209
280: x: 0, y: 51, z: 210
281: x: 0, y: 51, z: 211
282: x: 0, y: 51, z: 212
283: x: 0, y: 51, z: 213
284: x: 0, y: 51, z: 214
285: x: 0, y: 51, z: 215
286: x: 0, y: 51, z: 216
287: x: 0, y: 51, z: 217
288: x: 0, y: 51, z: 218
289: x: 0, y: 51, z: 219
290: x: 0, y: 51, z: 220
291: x: 0, y: 51, z: 221
292: x: 0, y: 51, z: 222
293: x: 0, y: 51, z: 223
294: x: 0, y: 51, z: 224
295: x: 0, y: 51, z: 225
296: x: 0, y: 51, z: 226
297: x: 0, y: 51, z: 227
298: x: 0, y: 51, z: 228
299: x: 0, y: 52, z: 208
300: x: 0, y: 52, z: 209
301: x: 0, y: 52, z: 210
302: x: 0, y: 52, z: 211
303: x: 0, y: 52, z: 212
304: x: 0, y: 52, z: 213
305: x: 0, y: 52, z: 214
306: x: 0, y: 52, z: 215
307: x: 0, y: 52, z: 216
308: x: 0, y: 52, z: 217
309: x: 0, y: 52, z: 218
310: x: 0, y: 52, z: 219
311: x: 0, y: 52, z: 220
312: x: 0, y: 52, z: 221
313: x: 0, y: 52, z: 222
314: x: 0, y: 52, z: 223
315: x: 0, y: 52, z: 224
316: x: 0, y: 52, z: 225
317: x: 0, y: 52, z: 226
318: x: 0, y: 52, z: 227
319: x: 0, y: 52, z: 228
320: x: 0, y: 53, z: 209
321: x: 0, y: 53, z: 210
322: x: 0, y: 53, z: 211
323: x: 0, y: 53, z: 212
324: x: 0, y: 53, z: 213
325: x: 0, y: 53, z: 214
326: x: 0, y: 53, z: 215
327: x: 0, y: 53, z: 216
328: x: 0, y: 53, z: 217
329: x: 0, y: 53, z: 218
330: x: 0, y: 53, z: 219
331: x: 0, y: 53, z: 220
332: x: 0, y: 53, z: 221
333: x: 0, y: 53, z: 222
334: x: 0, y: 53, z: 223
335: x: 0, y: 53, z: 224
336: x: 0, y: 53, z: 225
337: x: 0, y: 53, z: 226
338: x: 0, y: 53, z: 227
339: x: 0, y: 53, z: 228
340: x: 0, y: 54, z: 210
341: x: 0, y: 54, z: 211
342: x: 0, y: 54, z: 212
343: x: 0, y: 54, z: 213
344: x: 0, y: 54, z: 214
345: x: 0, y: 54, z: 215
346: x: 0, y: 54, z: 216
347: x: 0, y: 54, z: 217
348: x: 0, y: 54, z: 218
349: x: 0, y: 54, z: 219
350: x: 0, y: 54, z: 220
351: x: 0, y: 54, z: 221
352: x: 0, y: 54, z: 222
353: x: 0, y: 54, z: 223
354: x: 0, y: 54, z: 224
355: x: 0, y: 54, z: 225
356: x: 0, y: 54, z: 226
357: x: 0, y: 54, z: 227
358: x: 0, y: 54, z: 228
359: x: 0, y: 55, z: 211
360: x: 0, y: 55, z: 212
361: x: 0, y: 55, z: 213
362: x: 0, y: 55, z: 214
363: x: 0, y: 55, z: 215
364: x: 0, y: 55, z: 216
365: x: 0, y: 55, z: 217
366: x: 0, y: 55, z: 218
367: x: 0, y: 55, z: 219
368: x: 0, y: 55, z: 220
369: x: 0, y: 55, z: 221
370: x: 0, y: 55, z: 222
371: x: 0, y: 55, z: 223
372: x: 0, y: 55, z: 224
373: x: 0, y: 55, z: 225
374: x: 0, y: 55, z: 226
375: x: 0, y: 55, z: 227
376: x: 0, y: 55, z: 228
377: x: 0, y: 56, z: 212
378: x: 0, y: 56, z: 213
379: x: 0, y: 56, z: 214
380: x: 0, y: 56, z: 215
381: x: 0, y: 56, z: 216
382: x: 0, y: 56, z: 217
383: x: 0, y: 56, z: 218
384: x: 0, y: 56, z: 219
385: x: 0, y: 56, z: 220
386: x: 0, y: 56, z: 221
387: x: 0, y: 56, z: 222
388: x: 0, y: 56, z: 223
389: x: 0, y: 56, z: 224
390: x: 0, y: 56, z: 225
391: x: 0, y: 56, z: 226
392: x: 0, y: 56, z: 227
393: x: 0, y: 56, z: 228
394: x: 0, y: 57, z: 213
395: x: 0, y: 57, z: 214
396: x: 0, y: 57, z: 215
397: x: 0, y: 57, z: 216
398: x: 0, y: 57, z: 217
399: x: 0, y: 57, z: 218
400: x: 0, y: 57, z: 219
401: x: 0, y: 57, z: 220
402: x: 0, y: 57, z: 221
403: x: 0, y: 57, z: 222
404: x: 0, y: 57, z: 223
405: x: 0, y: 57, z: 224
406: x: 0, y: 57, z: 225
407: x: 0, y: 57, z: 226
408: x: 0, y: 57, z: 227
409: x: 0, y: 57, z: 228
410: x: 0, y: 58, z: 214
411: x: 0, y: 58, z: 215
412: x: 0, y: 58, z: 216
413: x: 0, y: 58, z: 217
414: x: 0, y: 58, z: 218
415: x: 0, y: 58, z: 219
416: x: 0, y: 58, z: 220
417: x: 0, y: 58, z: 221
418: x: 0, y: 58, z: 222
419: x: 0, y: 58, z: 223
420: x: 0, y: 58, z: 224
421: x: 0, y: 58, z: 225
422: x: 0, y: 58, z: 226
423: x: 0, y: 58, z: 227
424: x: 0, y: 58, z: 228
425: x: 0, y: 59, z: 215
426: x: 0, y: 59, z: 216
427: x: 0, y: 59, z: 217
428: x: 0, y: 59, z: 218
429: x: 0, y: 59, z: 219
430: x: 0, y: 59, z: 220
431: x: 0, y: 59, z: 221
432: x: 0, y: 59, z: 222
433: x: 0, y: 59, z: 223
434: x: 0, y: 59, z: 224
435: x: 0, y: 59, z: 225
436: x: 0, y: 59, z: 226
437: x: 0, y: 59, z: 227
438: x: 0, y: 59, z: 228
439: x: 0, y: 60, z: 216
440: x: 0, y: 60, z: 217
441: x: 0, y: 60, z: 218
442: x: 0, y: 60, z: 219
443: x: 0, y: 60, z: 220
444: x: 0, y: 60, z: 221
445: x: 0, y: 60, z: 222
446: x: 0, y: 60, z: 223
447: x: 0, y: 60, z: 224
448: x: 0, y: 60, z: 225
449: x: 0, y: 60, z: 226
450: x: 0, y: 60, z: 227
451: x: 0, y: 60, z: 228
452: x: 0, y: 61, z: 217
453: x: 0, y: 61, z: 218
454: x: 0, y: 61, z: 219
455: x: 0, y: 61, z: 220
456: x: 0, y: 61, z: 221
457: x: 0, y: 61, z: 222
458: x: 0, y: 61, z: 223
459: x: 0, y: 61, z: 224
460: x: 0, y: 61, z: 225
461: x: 0, y: 61, z: 226
462: x: 0, y: 61, z: 227
463: x: 0, y: 61, z: 228
464: x: 0, y: 62, z: 218
465: x: 0, y: 62, z: 219
466: x: 0, y: 62, z: 220
467: x: 0, y: 62, z: 221
468: x: 0, y: 62, z: 222
469: x: 0, y: 62, z: 223
470: x: 0, y: 62, z: 224
471: x: 0, y: 62, z: 225
472: x: 0, y: 62, z: 226
473: x: 0, y: 62, z: 227
474: x: 0, y: 62, z: 228
475: x: 0, y: 63, z: 219
476: x: 0, y: 63, z: 220
477: x: 0, y: 63, z: 221
478: x: 0, y: 63, z: 222
479: x: 0, y: 63, z: 223
480: x: 0, y: 63, z: 224
481: x: 0, y: 63, z: 225
482: x: 0, y: 63, z: 226
483: x: 0, y: 63, z: 227
